RestaurantID,RestaurantName,Description,LogoImage,BusinessStatus,DeliveryFee,MinimumOrderAmount,DeliveryArea,AverageRating
1,Conway Group,Innovative empowering success,https://picsum.photos/363/876,Closed,3.45,41.03,South Matthew,3.4
2,Crawford-Price,Persevering impactful support,https://placekitten.com/702/185,Resting,5.28,47.25,Stevenburgh,3.5
3,Vazquez Stone and Keller,Re-contextualized heuristic data-warehouse,https://placekitten.com/841/704,Open,7.09,48.09,South Kaylaberg,3.7
4,Henderson-Henderson,Implemented grid-enabled interface,https://placekitten.com/66/810,Resting,7.82,58.35,Frazierhaven,3.6
5,Lopez-Solomon,Assimilated value-added artificial intelligence,https://dummyimage.com/791x30,Resting,4.64,18.36,Hollystad,4.5
6,Roberts-Sweeney,Organized grid-enabled extranet,https://dummyimage.com/384x811,Open,7.51,47.75,Woodside,4.8
7,Kelly PLC,Digitized composite data-warehouse,https://picsum.photos/634/680,Resting,3.19,24.57,North William,3.8
8,Stone Ltd,De-engineered hybrid core,https://dummyimage.com/1x175,Open,8.17,43.29,Michaelview,3.9
9,Rivas-Price,Exclusive executive framework,https://picsum.photos/277/501,Resting,7.95,49.33,Port Donna,3.8
10,Eaton-Buck,Multi-lateral disintermediate standardization,https://dummyimage.com/947x196,Closed,8.35,29.65,North Elizabethside,3.8
11,Pacheco-Nelson,Sharable directional analyzer,https://dummyimage.com/10x413,Resting,3.71,54.05,Carlyberg,3.5
12,Obrien-Walker,De-engineered hybrid capability,https://placekitten.com/935/238,Open,8.0,49.29,Youngfurt,4.9
13,Parker Rodriguez and Sanchez,Assimilated client-driven support,https://placekitten.com/589/950,Closed,8.75,29.37,Jermaineberg,4.9
14,Parker LLC,Advanced modular info-mediaries,https://placekitten.com/168/79,Resting,5.37,20.04,Patrickfurt,4.7
15,Mullins Burgess and Lopez,Realigned 6thgeneration Graphical User Interface,https://dummyimage.com/17x211,Resting,8.24,25.62,Oscarberg,3.9
16,Brooks Valdez and Duncan,Expanded fresh-thinking workforce,https://dummyimage.com/321x674,Open,3.62,37.2,East Aaronbury,4.7
17,Zimmerman-Beasley,Switchable regional standardization,https://dummyimage.com/307x496,Open,4.1,43.06,Jameston,3.7
18,Mcdowell LLC,Open-architected systematic conglomeration,https://picsum.photos/937/305,Resting,9.99,35.92,Garciaside,3.3
19,Robinson-Pope,Triple-buffered radical middleware,https://placekitten.com/643/635,Resting,8.14,20.94,Alexaside,4.8
20,Moody Group,Multi-channeled static access,https://picsum.photos/608/396,Resting,7.49,19.41,Lesliebury,4.7
21,Brown-Nelson,Open-architected discrete parallelism,https://placekitten.com/223/284,Open,9.2,34.72,Dawntown,3.5
22,Fox-Conner,Secured value-added customer loyalty,https://picsum.photos/708/465,Open,2.65,51.14,Vasquezburgh,3.5
23,Baker LLC,Secured holistic customer loyalty,https://dummyimage.com/734x631,Closed,6.81,36.69,Emmafort,4.8
24,Delacruz Arnold and Weaver,Cross-group mission-critical groupware,https://picsum.photos/832/235,Resting,9.78,24.04,West Mike,3.1
25,Keith LLC,Up-sized actuating toolset,https://placekitten.com/70/750,Closed,4.23,40.4,Howardmouth,4.5
26,Johnson-Watts,Triple-buffered multi-state pricing structure,https://picsum.photos/800/675,Resting,2.8,24.84,Novakland,3.4
27,Owens LLC,Switchable bottom-line moderator,https://placekitten.com/285/441,Closed,3.41,53.26,West Lindashire,3.6
28,Woods Group,Devolved 6thgeneration attitude,https://picsum.photos/502/904,Resting,9.13,17.05,Sanderschester,4.8
29,Strong-Foley,Versatile static functionalities,https://picsum.photos/60/989,Resting,6.35,57.13,New Monicaburgh,4.4
30,Fields Hernandez and Watson,Proactive directional matrices,https://picsum.photos/848/340,Resting,2.59,25.33,Joneston,4.0
31,Bryant-Moses,Cloned explicit portal,https://placekitten.com/526/211,Open,9.25,42.67,Port Kennethbury,3.2
32,Newton Daniels and Gross,Operative impactful open system,https://placekitten.com/159/109,Resting,3.39,36.96,West Larryborough,4.6
33,Rosario-Smith,Vision-oriented demand-driven time-frame,https://dummyimage.com/136x893,Open,3.3,20.64,Hoffmanberg,3.2
34,Evans-Solis,Monitored tangible application,https://picsum.photos/501/616,Resting,6.49,59.76,Jacobport,4.3
35,Gibson Nichols and Brock,Quality-focused 6thgeneration policy,https://picsum.photos/970/596,Resting,2.86,23.09,West Mark,4.4
36,Bradley PLC,Optional analyzing firmware,https://placekitten.com/121/598,Open,2.98,16.3,Port Travis,3.1
37,Reid PLC,Synergistic attitude-oriented moratorium,https://placekitten.com/498/252,Resting,8.86,45.31,North Lesliestad,4.5
38,Clark LLC,Cross-platform motivating migration,https://dummyimage.com/982x618,Resting,3.66,23.55,North Bethfort,3.4
39,Perry Hayes and Johnson,Open-source tangible forecast,https://placekitten.com/724/966,Closed,4.18,35.42,New Tinashire,3.9
40,Watkins Cox and Sanders,Cloned neutral open system,https://dummyimage.com/341x297,Resting,8.45,24.78,Ashleyberg,4.2
41,Hill-Kim,Re-engineered incremental attitude,https://placekitten.com/841/609,Closed,8.91,41.75,South George,3.3
42,Cruz-Wells,Open-architected clear-thinking instruction set,https://picsum.photos/814/626,Open,3.28,32.91,North Ann,4.5
43,Clark-Smith,Cloned 24/7 implementation,https://placekitten.com/508/749,Closed,5.64,15.67,Port Ronaldtown,3.7
44,Wright Group,Down-sized fresh-thinking core,https://picsum.photos/128/413,Open,8.18,48.84,West Carol,3.8
45,Martinez Group,Balanced attitude-oriented solution,https://picsum.photos/481/579,Open,3.71,35.91,Jamestown,4.0
46,Donaldson and Sons,Enterprise-wide client-server protocol,https://dummyimage.com/978x38,Open,5.45,15.48,Jamieberg,3.7
47,Cobb Bailey and Simmons,Diverse coherent conglomeration,https://placekitten.com/997/661,Closed,7.33,22.09,South Ricky,4.2
48,Smith and Sons,Pre-emptive exuding flexibility,https://picsum.photos/1006/554,Open,8.61,53.09,Robertburgh,3.1
49,Perry and Sons,Devolved even-keeled interface,https://dummyimage.com/278x888,Open,3.4,53.76,Hamptonshire,3.6
50,Mitchell Sutton and Harmon,Seamless heuristic benchmark,https://placekitten.com/684/73,Closed,5.96,31.33,Lake Christopher,3.9
51,Miles-Daniels,Upgradable systemic budgetary management,https://dummyimage.com/947x2,Closed,9.55,42.6,Michaelborough,3.3
52,Miller-Ward,Secured stable portal,https://dummyimage.com/75x88,Open,2.95,34.16,Kristenmouth,4.9
53,Allen Inc,Virtual responsive info-mediaries,https://picsum.photos/463/857,Resting,7.64,17.45,Williammouth,3.9
54,Rojas Hoover and Mcgrath,Profit-focused transitional function,https://dummyimage.com/333x458,Open,8.48,55.04,Danielview,3.5
55,Jackson-Cherry,Open-source leadingedge encoding,https://placekitten.com/15/919,Open,4.54,54.13,Port Stephanie,3.3
56,Buckley Inc,Switchable local core,https://placekitten.com/841/409,Resting,6.67,34.41,New Keith,4.9
57,Griffin Ortiz and Pennington,Centralized even-keeled hub,https://placekitten.com/41/811,Resting,7.59,34.53,East Jessicaberg,3.3
58,Lewis PLC,Face-to-face regional strategy,https://dummyimage.com/968x751,Open,9.52,38.14,New Reginashire,3.4
59,Evans LLC,Balanced coherent model,https://placekitten.com/123/267,Resting,6.59,35.06,Port Andreachester,4.6
60,Odom Campos and Marks,Progressive modular installation,https://picsum.photos/731/571,Resting,9.4,39.84,South Jasmineview,4.5
61,Lopez-Webb,Visionary context-sensitive synergy,https://dummyimage.com/491x614,Closed,6.73,35.25,East Wendystad,3.2
62,Shah Ramirez and Smith,Intuitive exuding protocol,https://dummyimage.com/114x98,Closed,8.09,29.32,East David,4.0
63,Price Mueller and Lucas,Assimilated static utilization,https://picsum.photos/293/944,Open,8.58,51.23,East Gerald,3.5
64,Gordon-Kelley,Versatile asymmetric firmware,https://dummyimage.com/790x815,Closed,6.58,27.88,South Alison,4.4
65,Moore Inc,Customer-focused non-volatile support,https://dummyimage.com/960x269,Open,5.75,39.34,South Katherinemouth,3.5
66,Rivera and Sons,Team-oriented object-oriented synergy,https://placekitten.com/530/1015,Resting,3.68,33.61,Pageshire,3.3
67,Perez Inc,Profound context-sensitive hardware,https://placekitten.com/592/805,Closed,4.28,39.2,West Denise,4.9
68,Combs Inc,Reactive 4thgeneration pricing structure,https://dummyimage.com/384x156,Open,6.04,35.86,Davidville,3.6
69,Hobbs-Stephens,Expanded intermediate migration,https://dummyimage.com/699x97,Open,7.18,32.52,Loriberg,3.6
70,Eaton Collins and Dillon,Polarized multi-tasking firmware,https://placekitten.com/821/913,Open,9.7,56.0,Tylerburgh,4.0
71,Roberson-Chase,Digitized 6thgeneration info-mediaries,https://placekitten.com/452/833,Closed,9.74,41.89,Adamport,3.8
72,Williams-Thomas,Visionary 24/7 encoding,https://picsum.photos/373/402,Open,8.05,55.65,East Michael,3.2
73,Ramos Lowe and Miller,Networked secondary service-desk,https://picsum.photos/270/555,Resting,4.59,59.86,Williamview,4.9
74,Waller Young and Kim,Self-enabling holistic solution,https://dummyimage.com/380x1018,Open,8.07,26.44,North Kevinmouth,4.6
75,Atkins-Webster,Re-engineered foreground concept,https://picsum.photos/735/879,Closed,7.37,38.42,New Olivia,4.9
76,Cook-Mitchell,Function-based attitude-oriented functionalities,https://picsum.photos/557/672,Closed,3.34,47.13,Ashleymouth,4.7
77,Stephens Inc,Realigned contextually-based complexity,https://dummyimage.com/269x179,Open,5.7,19.51,Scottchester,3.5
78,Graham Garrett and Mccullough,Function-based discrete throughput,https://placekitten.com/145/461,Resting,5.08,59.07,North Jack,4.7
79,Villarreal Williams and Tanner,Open-source asymmetric capability,https://placekitten.com/249/844,Open,3.78,41.28,New Andreaburgh,3.3
80,James Inc,Universal value-added challenge,https://picsum.photos/61/654,Resting,9.18,51.77,Andrewmouth,4.9
81,Kramer LLC,User-friendly asymmetric synergy,https://dummyimage.com/630x470,Closed,7.49,58.93,New Rachel,3.7
82,Reed LLC,Open-architected mission-critical encoding,https://dummyimage.com/230x438,Closed,7.04,30.01,New Josebury,4.6
83,Reed-Case,Pre-emptive object-oriented superstructure,https://placekitten.com/798/185,Open,2.16,27.54,Mckinneyside,3.3
84,Harrison PLC,Organized actuating capability,https://placekitten.com/978/95,Closed,3.37,50.95,West Feliciahaven,3.5
85,Wood Adams and Hawkins,Quality-focused tangible frame,https://dummyimage.com/958x1021,Resting,3.06,34.28,Jacobmouth,4.1
86,Lawrence Ltd,Enterprise-wide 3rdgeneration circuit,https://dummyimage.com/145x615,Open,8.5,45.38,Gregoryside,3.5
